author,text,published_at,like_count
@Florin1107,"Ponta, ți-a dat ""palme"", tovarășul Băsescu, ți-a dat ""palme"", Herr Iohannis,tu nu te mai saturi,de atâta umilință, candidează mai bine,ministrul apelor(Dunării)😂😂😂😂😢",2025-05-01T07:36:12Z,0
@cristianavasile1897,"Politicienii sunt oameni, nu sunt roboti…au relatii intre ei, prietenii si dusmanii, ca o “mare familie” pana la urma…nu vine nimeni salvator sa ne scoata din mizerie…Romania suntem NOI, fiecare! Eu sunt total anti-Iohannis dar bine ca vine Orban la emisiunea asta si ne tine lectii acum…de spritzurile din starea de urgenta si de sfidarea maxima a uitat? Toti sunt o apa si-un pamant..",2025-04-30T05:33:22Z,1
@alsdlsaeofs,pe noi inca ne conduc securistii dupa 35 de ani de la revolutie.... incredibil asa ceva,2025-04-29T17:50:20Z,0
@alsdlsaeofs,in loc de propaganda electorala zilele astea ar trebui rulat acest documentar pe repeat,2025-04-29T17:28:01Z,0
@FiricelDumitru,Mi se face greață  să mă uit  mincinos președinte  am avut,2025-04-27T08:15:24Z,0
@petruchindris2672,DECENIUL  . TRADATORILOR  !  CORUPTILOR  ! SI  A  HOTILOR  !!!!   SA  VA  FIE  RUSINE   !   DACA  MAI  AVETI   !!!!,2025-04-26T16:22:43Z,0
@liviuarkis9642,Sa inteleg ca după 35 de ani de la revolitie tot nu suntem liberi,2025-04-26T08:47:39Z,0
@marinaburroughs4919,"Un documentar excepțional. Mulțumesc, @Recorder, pentru tot ceea ce faceți!",2025-04-24T16:23:51Z,1
@MonicaMarcu-h6f,👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻,2025-04-24T10:21:34Z,0
@CristinaARusu,"Foarte trist.. 15 ani pierduti in comunism, 10 ani cu Johannis, si inca aproape 25 cu niste reminiscente ale comunismului. O viata pierduta.",2025-04-23T20:18:37Z,0
@AndreiEnache-b2m,Ce drq.e aata,2025-04-20T09:29:55Z,0
@OlaruGeorge-u7k,Gulag Masonic cu presedinti 😢😢😢😢😢,2025-04-18T11:44:51Z,1
@MagureanuGeorgian,Cu Ceaușescu a fost dreptate,2025-04-17T16:44:33Z,0
@MagureanuGeorgian,Lasă că la m omorât pe Ceaușescu  de Crăciun,2025-04-17T16:44:13Z,0
@Aurel-p7l,Oare când o să iasă în societate nu o sa al scuipe nimeni,2025-04-13T20:23:51Z,1
@Aurel-p7l,Un german care nu o avut nici o treabă cu țara românească și pe deasupra și hot o furat 6 case și cu justiția din România nu o să meargă la pușcărie o sa fugă în Germania lui natala,2025-04-13T20:14:25Z,1
@danielpopescu8050,Am ramas cu ceva si de la Iohannis e primul presedinte din istoria Romaniei a carui nume nu se termina cu -escu,2025-04-05T22:29:50Z,0
@felixcalus,PAI L-ATI VOTAT PENTRU CA STIA ARIA CERCULUI,2025-04-02T19:43:14Z,0
@adrianatenea3560,Bravo Recorder...😊,2025-03-31T05:35:08Z,0
@adrianatenea3560,"Cum a putut să ne mintă 10 ani Iohannis,  și să-și facă numai interesul turistic de lux . Deci Cotroceni a funcționat ca o agenție de turism de lux pentru două persoane el și Carmen .",2025-03-31T05:33:18Z,0
@MariaAureliaBaron-gt1ym,"Toți își dau cu părerea și vinovatul p|incipalul vinovat este Iohanis! Să fim serioși! El trebuie să plătească oalele sparte! Vorbește și Viorica! O lumină! Dna Dogioiu un critic acerb o fi n-o fi! Orban  un pierzător veșnic! Corect un răspuns inteligent!! Viorica o catastrofă politică!  
O măsură foarte bună! Asta era măsura cea mai bună!  Dar asta este pentru cunoscători! Ludovic Orban a fost demis fiindcă a făcut chef cu alcool și țigări în biroul de prim ministru! Toți inculți și-au dat cu părerea! A fost cel mai bun președinte! Altul care își dă cu părerea de la usr care nu au făcut nimic! Doar vorbe! Doamna Dogioiu aceeași criticoasă cu ton de mamaie la colț de uliță! A fost cea mai soluție! Ludovic ești praf "" pisicuț"" cum l-a poreclit Băsescu! Era o situație excepțională! Usr doar critică fiindcă este greu să te rodezi la guvernare!",2025-03-28T11:01:30Z,0
@MariaAureliaBaron-gt1ym,Prostii și minciuni! Ați găsit vinovatul de serviciu!,2025-03-27T19:44:53Z,0
@adrianchivu3063,"O altă dovadă în plus pentru a nu mai merge la vot și asta recomand tuturor să facă. Ar fi fost ideal ca înainte de a vota, a candida, a conduce, a fi în sistem să se facă un test de inteligență, deșteptăciune și cultură generală  și doar cei inteligenți, culți și cu materie cenușie să le poată face!!!",2025-03-27T15:40:00Z,0
@kguardxxx,"Zdreanta de presedinte, neamt infect.",2025-03-27T05:29:47Z,1
@floreaflorin2669,Dă băă banii înapoi borfașule !,2025-03-26T12:44:26Z,0
@RobertIoan-i8x,Jos trădătorii acestei ȚĂRI !!!!!!!!!,2025-03-26T05:42:31Z,0
@mariusludosan7927,Cel mai slab președinte din toate timpurile... Muțenia Pământului...,2025-03-25T20:56:27Z,0
@DendoConder,"Tot atata plangeti pe aici,l ati votat asumati vaa!!!!!!!",2025-03-22T07:28:58Z,1
@mariusnarcis5184,"Ticalosul care a condus România timp de 10 ani,prin minciuni.TRADATOR!",2025-03-19T08:45:39Z,2
@romuluspojoni,expresia feței lui Iohanis a fost de dictator …limbajul corpului ăsta îmi exprimă …,2025-03-18T16:12:36Z,3
@ConstantinZamurca,Nu ai facut nimic pentru binele poporului ai lasat faradelegea in mana partidelor politice lacome,2025-03-17T16:42:27Z,2
@irinaiordache3729,"Romanca-italiana aici, 25 de ani. multumesc. nu stiam PREA multe din cea ce ati documentat aici, chiar daca a fost despre ultimi 10 ani din viata mea.",2025-03-17T08:32:50Z,2
@corinacerbu8266,"Daca aveti cum, va rog sa adaugati subtitrare in Engleza. Vreau sa-i arat si sotului meu, nu e roman. Ne-am uitat impreuna la “30 de ani de democratie”. I-a placut, a zis ca intelege mult mai bine acum de unde vin si ar vrea sa afle mai mult, sa inteleaga mai mult. Pot sa-i explic si eu, dar nu as face o treaba la fel de buna. Diaspora e imensa, suntem peste tot, multi avem familii mixte sau prieteni de alte nationalitati, documentarele si reportajele voastre sunt interesante si utile, nu doar pentru noi Romanii ci si pentru altii care vor sa ne cunoasca si sa ne inteleaga mai bine. Va multumesc din suflet pentru tot ce faceti!",2025-03-16T22:06:48Z,1
@leecocis4896,"Promisiunea este cea mai mare minciună a politicienilor în fuga după voturi. Sunt foarte sigur că în momentul când Iohannis a fost ales președinte, cetățenii și-au pus speranța și au crezut în el. A fost o dezamăgire totală.",2025-03-16T18:25:12Z,1
@ACOTTOTTIOTORPOSTEttLl,UICUI,2025-03-15T13:38:03Z,1
@ACOTTOTTIOTORPOSTEttLl,Ave,2025-03-15T13:36:38Z,1
@ACOTTOTTIOTORPOSTEttLl,"Cezar sunt nu gaura steagului
Cu",2025-03-15T13:36:09Z,1
@ACOTTOTTIOTORPOSTEttLl,"Spus i8
Nu stop",2025-03-15T13:35:24Z,1
@ACOTTOTTIOTORPOSTEttLl,"În ki e tū et ea
Nu liceanul",2025-03-15T13:33:38Z,1
@ACOTTOTTIOTORPOSTEttLl,T,2025-03-15T13:32:02Z,1
@ACOTTOTTIOTORPOSTEttLl,Le prie de evenue ter te,2025-03-15T13:31:44Z,1
@ACOTTOTTIOTORPOSTEttLl,Rehnezee9,2025-03-15T13:31:07Z,1
@ACOTTOTTIOTORPOSTEttLl,"Lediunea Roi Ovalā nu legiunea ro talā
China881cc1ppp",2025-03-15T13:30:50Z,1
@ACOTTOTTIOTORPOSTEttLl,17,2025-03-15T13:28:39Z,0
@ACOTTOTTIOTORPOSTEttLl,DRD,2025-03-15T13:27:56Z,0
@ACOTTOTTIOTORPOSTEttLl,I'm,2025-03-15T13:27:40Z,0
@ACOTTOTTIOTORPOSTEttLl,Y,2025-03-15T13:27:06Z,0
@ACOTTOTTIOTORPOSTEttLl,NOUÆ,2025-03-15T13:26:55Z,0
@ACOTTOTTIOTORPOSTEttLl,ZAC,2025-03-15T13:26:35Z,0
@ACOTTOTTIOTORPOSTEttLl,Y,2025-03-15T13:25:45Z,0
@ACOTTOTTIOTORPOSTEttLl,Y,2025-03-15T13:24:02Z,0
@ACOTTOTTIOTORPOSTEttLl,Sco,2025-03-15T13:21:33Z,0
@ACOTTOTTIOTORPOSTEttLl,Atest,2025-03-15T13:21:18Z,0
@ACOTTOTTIOTORPOSTEttLl,Nu am produciat7,2025-03-15T13:20:49Z,0
@ACOTTOTTIOTORPOSTEttLl,AsociaT,2025-03-15T13:20:32Z,0
@Janssen-l8w,"pulalăul ăsta chiar a fost președinte degeaba . Făcea declarații de 3 ori pe an și dispărea jumate de an . 
S-a lăfăit în vacanțe pe banii proștilor .",2025-03-15T12:26:52Z,1
@BisaDavid,"Ferească Dumnezeu de așa un președinte ticălos si mincinos,deci ăsta a sfidat totul.... fără copii fără nimica!!!!",2025-03-15T05:54:52Z,1
@octaiasim6030,"Un om că Iohannis care nu are copii,dar nici nu a înfiat cum poți să crezi că e iubitor de țară,se vede după vorba și atitudinea lui că suntem niste nimicuri ptr el, Rușine sa îți fie Iohannis rușine 😢",2025-03-15T05:24:25Z,3
@reludan,Thanks!,2025-03-15T02:58:21Z,1
@vartolomeiflorin1275,Cea mai mare dezamagire a deceniului 😢 mulțumim pt.mostenirea lăsată copiilor noștri !,2025-03-12T14:32:55Z,0
@BigiBobi,Adevărul lam trăit și îl trăim degeaba ce poți face într-o Românie coruptă pana sânge,2025-03-10T16:32:45Z,0
@CristinaRotaru-qz7wc,Excelent material! Felicitari echipei Recorder👏👏👏,2025-03-08T13:35:02Z,0
@MhaiIstoc,Viitorul României depinde de alegerile noastre! Cristian Sima e varianta câștigătoare?,2025-03-07T20:34:58Z,0
@dharma2323,"Este Martie 2025. Aveti grija români din Romania cu cine votați. Nu mai credeti atat de mult in aparențe. Alegeti cu capul si nu va mai puneti speranța in zei. Amintiți-va ca avem nevoie de Europa. Lumea intreaga face alianțe. Puneți-va întrebări, amintiți -va  ce inseamna comunismul si fascismul si votați cu capul. 
Dacian Cioloș a fost un bun prim-ministru ministru. Păcat ca nu a fost lăsat să-și faca treaba. Cumva românii vor minuni si cred in iluzii. Este nevoie sa fim pragmatici vazand ce se întâmplă in lume.",2025-03-06T14:30:22Z,1
@tudorv5245,Am înțeles în aceste două ore mai multe decât au reușit ei sa ascundă in ultimii 10 ani.,2025-03-06T11:48:22Z,10
@bebeama71,ce donati ma ca si voi santeti sponsorizati de soros,2025-02-24T19:40:47Z,1
@B.Cv.22.89,"Buna ziua Recorder! Va dau un pont. Urmariti firmele care nu se mai opresc din a construi sali de sport extrem de scumpe. Noi nu avem asfalt pe ulite dar avem sali de sport de milioane de euro prin toate cotloanele unde abia se mai gasesc copii. De acum inainte sunt contracte pe inca 50 de sali desi de cativa ani se inaugureaza pe banda rulanta si nu se mai opresc. Chiar este nevoie de ele? Sau trebuie cineva sa castige. Totul porneste de la varf, investigati. Sunt atatia subcontractori de o sa va speriati, din  Bt , Sv samd.",2025-02-23T07:14:47Z,2
@VasileSmetanca-y2g,10`00 wow suntets bogats,2025-02-22T12:15:52Z,1
@VasileSmetanca-y2g,Aia!😮😢,2025-02-22T12:13:04Z,1
@VasileSmetanca-y2g,Ca de obicei ie lene sa vorbessca Domnul Iohannis !!!!,2025-02-22T12:01:20Z,1
@ROMANABSOLUT,Min. 58:35 - Anca Alexandrescu (în dreapta) în suita comunistă a Dăncilei. Este membru PSD.,2025-02-20T17:26:25Z,1
@madalincimpeanu3692,Dictatura 100%,2025-02-18T12:13:22Z,1
@catalincapete6935,"Bine v-am făcut este președintele, bine că nu am votat cu el😅😅   Peste 3 ore fac 39 de ani, pe tâmpitul ăsta parcă îl simțeam",2025-02-17T19:11:21Z,1
@ioanazodila4849,De ce nu ati facut acest material inainte de alegerile din 2024?,2025-02-16T07:47:55Z,3
@ioanazodila4849,Acum ce faceti cu actorii statali(UDMR-istii) din functiile cheie?,2025-02-16T07:46:02Z,0
@lilianamirea4705,Felicitari pentru realizare!,2025-02-15T19:02:38Z,1
@PetreDSC,"Dupa 10aji de mâncat suntem in aceeasi situatie, vrem o schimbare, ca si acum 10ani !!!! Nu mai vrem tot pe ei....si tot acolo suntem  la dorință din 2014 !!!! Oare ne mai facem bine ?????",2025-02-15T06:51:16Z,1
@Floenzo8907,Nu trebuie sa mai aceptam un președinte care nu face nimic.,2025-02-13T15:48:37Z,2
@eduardtomel,Cum ramane cu palatul? Onestitate fara frontiere ... Sa va fie rusine !!!,2025-02-13T13:48:04Z,0
@lulumihaigarbulet7615,"Atata timp cat va fi același guvern de 35 de ani bine in România nu va fi niciodată! Cum Emil Boc la Cluj e gospodar,la București nu a fost lasat sa faca ce trebuia,cred ca si Iohanis a facut doar ce a putut,adica nimic!",2025-02-13T10:16:15Z,0
@coyotul1711,"Cat l-a urat poporul pe Ponta, nu cred ca se ajungea in situatia in care este astazi Romania daca iesea el presedinte, nu spun ca era roz dar oricum macar 5% mai eram un pas in fata... pe cand mutul .....mut a ramas si crede ca ne a mutit si pe noi ! LA ZID CU EL !",2025-02-12T22:40:02Z,1
@nicuje8771,Bine ca sa dus. dute tare  si sa nu mai auzim de tine niciodata,2025-02-12T21:48:19Z,0
@ilieenache7244,K.I a inceput cu bine si a fost iubit de oameni la inceput ...a avut de partea sa de 2 ori poporul satul de Pwuie MSD insa in ultimii ani a decazut exact ca un bolovan cum i se mai spune.Cel mai urat cpitol a fost cand a papat 8 milioane de dolari pentru asa zisele sala calatorii faimoase  cu o nesimtire greu de egalat in timp ce tara ardea la propriu .Asteptam DNA-ul sa isi faca datoria si in cazul sau...jalnic!,2025-02-12T20:04:24Z,0
@siposmihai7448,Jocuri politice bataie de joc fata de poporul roman,2025-02-12T20:03:51Z,0
@LUCIFER_OFFICIAL886,Catii aici dupa plecarea lui ?👏👏,2025-02-12T19:05:20Z,1
@gabidunca,"Recorder, te felicit! Acest material trebuie adăugat în cărțile de istorie!",2025-02-12T17:09:45Z,4
@elenamihu1952,"Eu una nu l-am votat nici prima dat nici a doua oară iar diaspora la votat permanent și primul mandat și al doilea mandat ,..Klaus Iohannis când nu la putut da jos pe premierul Ponta jos  ..la tot amenințat și  a chemat diaspora acasă să-l poate da jos pe Pontă....acum diaspora vede ce a votat ...e prea târziu  ...a furat această țară și a vânduto străinilor ... Acum a vândut voturile românilor..",2025-02-12T16:24:09Z,1
@adicarp9120,"L-a făcut Ponta , de la rupt...",2025-02-12T15:43:45Z,1
@xticleo9440,"Ne-a pacalit pe toti cu vocabularul si prezenta lui prin dezbaterile tv. Am petrecut 11 ore la coada in Anglia pentru a-l vota pe acest marțafoi, din lipsa evidenta de a alege pe cineva mai competent. S-a dovedit a fi inselator, flegmatic, dezinteresat, dezgustat si dezgustator. Acum nu ramane decat vorba ""Hai ca poate data viitoare va fi mai bine"". Sper ca Nicusor sa nu fie o alegere la fel de nefericita. Doamne ajuta, românași! ✌🏻",2025-02-12T13:47:32Z,2
@vicecobzaru1637,"Apai trebuie editat documentarul, caci dupa doua luni si scandalul alegerilor presedintele a terminat mandatul. Cu placere!",2025-02-12T12:34:24Z,0
@cristinaprinces1136,DE RAHAT SĂ FIE IOHANIS 💩💩💩💩😡😡😡😡NU MAI DATI FILME CU IOHANIS FUTUVĂ ÎN GURA💩💩💩💩😡😡😡😡😡😡😡😡😡😡,2025-02-12T07:22:31Z,0
@ratiuem6751,BRAVO Johannis,2025-02-11T23:22:36Z,0
@Liviu__,"Am revenit pe 10 Februarie 2025.
Dihania și-a dat în sfârșit demisia 🍻🍻🍻🍻🍻.
Era să înceapă al ""treilea"" mandat 😁.",2025-02-11T22:06:41Z,0
@RS-kt6is,"E interesant cum SRI a cautat sa traga sforile, dar pe de alta parte nu a putut tine de importanta si necesitatea acelor ""interceptari ambientale"" sau cum se numeau, care au fost scoase din legislatie - si cam de atunci au disparut si dosarele DNA, pe care ele se bazau.",2025-02-11T13:26:34Z,1
@iuliatufis4997,👏🏼👏🏼👍👍🎩🎩🎩🎩,2025-02-11T02:36:29Z,0
@marinescumarius,cred cu tarie ca 2025 sau maxim 2026 va repeta istoria din 1989. imi pare rau so spun dar cred cu siguranta.. pacat,2025-02-10T23:57:27Z,0
@marinescumarius,"si uite asa am ajuns ca toae marile bulevarde din ofiecare oras pline de case de amanet schimburi valutare si pacanele, si dupa ele farmacii si biserici. unde dracu ati mai vazut asa ceva in afara de turcia??? ne meritam soarta.",2025-02-10T23:53:09Z,1
@Duhdgijdsnk,cine e aici dupa ce a demisionat?,2025-02-10T14:42:54Z,1
@sleepybear654,M-am întors la clip imediat ce am văzut notificarea Biziday cu demisia lui. Mi se pare fascinant cât de puternice sunt ramificațiile dezamăgirilor mandatului său. Sper doar ca rezultatul din Mai să nu ducă la pierderea ultimilor 35 de ani de progrese.,2025-02-10T12:46:54Z,0
@robytgv,"Ce sa zic...cand il prindeti pe strada pe el si pe aia cu rochia roz ...sa-i bateti frate ca doar violenta e in adn-ul romanului,sangele de barbar si razbunarea trebuie sa predomineze. Daca poporul ar bate toti politicienii care mint si nu fac nimic altceva decat sa fure atunci se va schimba ceva.asta e umila mea opinie.
Sunt roman dar nu mai locuiesc in Romania de 20 de ani si vasazica nu votez,nu vreau sa am de a face cu nimic din Romania ptr ca sunt satul de coruptia,minciuna si mai ales prostia care predomina in tara.Solemn renunt la cetatenie de indata ce primesc cetatenie din tara straina in care locuiesc ptr ca fiind cetatean roman aduce doar dezavantaje.",2025-02-09T14:55:55Z,1
@beifordt6062,Domnule Presedinte nai Facut Nimic era lui Iliescu Roman CE  ATI Facut Domnule  Nimic  in Ruine ASA VA faceti  Averi Pe Spatele Rominilor Care munces. Curat 😢😢😢Pt Rominia Mea,2025-02-09T14:01:03Z,0
@rafaelgrosu7877,Are nevoie de update episodul,2025-02-09T10:56:03Z,0
@RaelRaluca,"Merge pe 11 de acum, e băiat mare",2025-02-09T06:55:31Z,0
@mariaungureanu547,"Deși nu credeam ca voi spune vre-odată, cred ca Dancila ar fi făcut nai multe decât Iohanis!",2025-02-09T06:24:41Z,0
@mariaungureanu547,Dezamăgire mare! Felicitări Recorder!,2025-02-09T06:20:57Z,1
@mariaungureanu547,Sunteți minunati,2025-02-09T06:04:25Z,2
@mariaungureanu547,Mu,2025-02-09T06:03:07Z,0
@mariaungureanu547,Mmu,2025-02-09T06:02:32Z,0
@VirgilJohn,La Aiud cu toți Tradatorii in formă continuată din 89 încoace.,2025-02-09T03:59:02Z,1
@warheadtodd3875,Brusc tot scandalul calin georgescu nu mai pare ca a venit de nicaieri. Plantatia pnl csf,2025-02-08T16:00:37Z,1
@elenabugheanu2814,"Sunt un om simplu din diaspora . Am vrut sa vad acest material doar ca sa am putin habar cum naiba a fost votat acest om , cine si de ce l-a votat .Nici macar n-am putut sal vad pe tot ...un sfert si mi-a ajuns . Cand omul a spus ,, vreau un guvern al meu "" a stiu precis ce spate are si cine trebuie sa faca parte din el . MUTI .Mai muti decat el .Vreti sa credem ca un singur om are puterea sa reduca la tacere pe oricine ? Oameni buni ...ati gresit enorm de mult ...v-ati mutat dintr- o barca gaurita in alta fara contemplatie . E normal sa se joace cu poporul si la ora actuala .Cu mentalitatea asta vreti un presedinte care sa va reprezinte pe voi si drepturile voastre ? Inclusiv aceia care vorbesc printre imagini ...🙈 V-au jucat o mana de talhari cum au dorit ei . Ca sa intelegi politica din tara ta , te invit sa privesti politica unei tari care crezi ca merge bine ...nu neaparat ca este si asa ... ai sa vezi o gramada de bube dar multe diferente intre doua tipuri de politica . Nu ai cum sa dai jos un presedinte sau sa demontezi un guvern cu ochii in televiziunile globaliste...e imposibil . N-ai cum sa stii precis ce vrei de la el , sa stii sa- l citesti chiar si cand nu spune adevarul . La o simpla privire ne putem da seama ca acelasi lucru se intampla si astazi ... manipularea nu e o arta asa cum s-ar crede daca esti informat ...dar iata cati oameni manipulati sau interesati ca jocul asta sa continue cu alti actori dar cu acelasi scenariu .Spunea un italian pe-aici TREZESTE- TE ROMANE . Asta va spun si eu ...la modul cel mai serios . Treziti- va si informati- va ...astia nu- s oamenii care v-au cerut votul in favoarea voastra ...e greu sa intelegeti un lucru atat de simplu ?",2025-02-07T21:21:36Z,0
@lilianabogos9403,"Nu stiu cum de stam calimi dupa circul facut,de cine ne aparau cu masinile de militari, de covit?of doamne.",2025-02-07T21:10:42Z,0
@lilianabogos9403,Va spalat neuroni nemtul,2025-02-07T20:18:32Z,0
@lilianabogos9403,"Eu nu lam votat,cu tote ca au incercat să-mi spele creierul  sal votez si nu l-am votat.",2025-02-07T19:19:04Z,0
@stapinu162,23:40,2025-02-06T20:54:04Z,0
@emiliapatru2665,S-a tetminat🎉,2025-02-06T17:25:42Z,0
@ColomparIle,Domnum Calin este omul potrivit in toata dezbaterea ce ati avuto,2025-02-06T01:45:22Z,0
@flowerpower1675,As dori un presedinte care sa aiba umanitate pe tot parcursul mandatului,2025-02-06T01:08:04Z,1
@CiprianCiuta,Ce dracu s-a intamplat?,2025-02-06T00:02:44Z,0
@CiprianCiuta,Chiar mai rau,2025-02-05T23:54:56Z,0
@CiprianCiuta,Nu s-a schimbat nimic,2025-02-05T23:54:38Z,0
@CiprianCiuta,Minciuni Domnule ! Minciuni 😢,2025-02-05T23:52:35Z,0
@flowerpower1675,Imi pare rau ca l-am votat. Imi cer scuze fata de toti romanii ca am crezut ca este potrivit.,2025-02-05T16:50:55Z,0
@vlad3379,10:43,2025-02-04T19:15:24Z,1
@MarcelPaun-w4f,Nu o sa avem o viata mai buna pana nu rezolvam dosarele fundamentale  ale existentei poporului roman de dupa 89.Marile curve ale justitiei trebuie sa dispara.Curatenie Generala ca tot vine sfantul PASTE,2025-02-03T16:09:13Z,0
@GW950m,Toti cei care ati pus stampila pe Johannis..puteti sa ii mancati paula,2025-02-02T14:04:54Z,0
@cristiantohatan2302,"Iohanes. - Promisiuni : - o gramada
Fapte - zero
Barbat - mult mai putzin
Realitate - mult mai "" Putin"" 
= rusine... te-ai dat barbat ,dar esti c4c4t",2025-02-01T22:32:16Z,0
@anisoarabogdan5425,Multumesc frumos pentru emisiunea asta frumoasa si adevarat*,2025-02-01T12:56:47Z,0
@marius4320,Am avut intuiție și nu mi a plăcut omul acesta. Și am avut dreptate. Om fara caldura sufleteasca. Dumnezeu sa ne ajute. Următorul sa fie om mai bun. Mai empatic. Doamne ajuta!,2025-01-31T15:59:31Z,1
@Rosca3d,Vinovati sunt CC al PNL si CC al USR. deasemenea tradatorul Ciolachi si gen SRI lanka Koldea si Marea combinatoare Kodrutza,2025-01-31T03:49:01Z,0
@cameliapopovici5823,"Mie mi se par toti niste imbecili,infatuati,se cred asa ca niste zei,ei sunt vai de mama lor",2025-01-30T17:58:26Z,0
@cameliapopovici5823,"Ăstia s-au spionat uniinpe altii,cine, care,cum fura😂😂😂",2025-01-30T17:56:19Z,0
@DIASPORA2024,1:28:39,2025-01-30T11:48:53Z,0
@DIASPORA2024,1:23:37,2025-01-30T11:40:55Z,0
@DIASPORA2024,1:19:48,2025-01-30T11:40:45Z,0
@adrianatenea3560,"Și dacă  nu ați facut nimic , răspundeți?",2025-01-30T10:27:13Z,0
@yonutr,"am renunțat să mai privesc la toate… vezi Doamne… “documentar” 
SUNTEȚI CUMPĂRAȚI, nici voi nu mai sunteți ce ați fost la început 
Mânjiți",2025-01-29T23:07:05Z,0
@YKRsuper,Si voi recorder ați sustinut asa un tiran si lati inlaturat pe CG,2025-01-28T15:58:32Z,0
@stefandragu47,"Dupa episodul cu alegerile anulate si revizualizand  acest documentar acum, modul prin care ele au fost anulate, modul jenant prin care Ciuca a pierdut alegerile si cum i s-a fabricat imaginea, ma intreb daca nu cumva Ciuca a fost doar paravanul SRI pentru adevaratul petent pentru functia de presedinte si anume CG, ca sa nu mai spun ca PNL-ul a pompat bani pt campania lui, chipurile fara voia lor... Daca este chiar ceea ce se vrea.... prin manipularea oamenilor naivi si slab educati (tocmai prin programul - Romania educata), evident si cu concursul mascariciului din PSD - Ciolacu (un simulacru dat de Ciuca si Ciolacu - doi indivizi cu IQ indoielnic, submediocru si atat de evident ). As putea spune in mod ironic, ca prin prelungirea mandatului datorita anularii alegerilor prin decizia CCR  si prin implicarea SRI impreuna cu CCR, tocmai ati primit un soi de raspuns. IRONIC!
Si inca o chestiune extrem de interesanta... Peste d-l Ciuca s-a asternut o liniste de mormant de la alegeri incoace (2 luni de liniste acum). Nicio ancheta, nicio descindere nimic. La fel, CG (acest CG care, tocmai este produsul sitemului si al SRI-ului) este bine mersi, anchete, nu; arestari, nu; demiteri, nu... Decizie daca mai poate candida, nu. Un stat condus de SRI si pentru SRI",2025-01-28T14:12:27Z,0
@evaeva4474,Cata coruptie doamne fereste!!!!Din asta nu mai iesim in vecii vecilor..ar trebui milioane de persoane aruncate in puscarii dar stau prea bine si acolo si doar 2 sau 3 luni pe urma liberi si se bucura de ce au furat...saracii oameni doamne ai mila de acest popor...doar tu ne mai poti ajuta..vino si fa ordine,2025-01-28T08:13:02Z,0
